[2025-06-05 20:27:51] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.min.css
